creator_type,creator_name,title_count,movies,tv_shows
Actor,Neena Gupta,8,7,1
Actor,Vanessa Hudgens,8,8,0
Actor,John Rhys-Davies,8,6,2
Actor,Aditi Rao Hydari,8,8,0
Actor,Sharon Stone,8,7,1
Actor,Reese Witherspoon,8,6,2
Actor,Rio Dewanto,8,8,0
Actor,Jason Bateman,8,6,2
Actor,Kate Winslet,8,8,0
Actor,Selma Blair,8,6,2
Actor,Ryotaro Okiayu,8,2,6
Actor,Jeanette Aw,8,1,7
Actor,Anushka Shetty,8,8,0
Actor,Jeff Bridges,8,8,0
Actor,Bobby Deol,8,8,0
Actor,Sarah Paulson,8,5,3
Actor,Alyson Leigh Rosenfeld,8,3,5
Actor,Tom Hanks,8,8,0
Actor,Bob Balaban,8,5,3
Actor,Jon Bernthal,8,5,3
Actor,Bea Alonzo,8,8,0
Actor,David Schwimmer,8,4,4
Actor,Vijay Sethupathi,8,7,1
Actor,Rana Daggubati,8,8,0
Actor,Melissa Leo,8,7,1
Actor,Heather Graham,8,7,1
Actor,James Cosmo,8,8,0
Actor,Kat Graham,8,7,1
Actor,Emory Cohen,8,7,1
Actor,Smita Malhotra,8,8,0
Actor,Nirmal Rishi,8,8,0
Actor,Kiron Kher,8,8,0
Actor,Sahajak Boonthanakit,8,7,1
Actor,Sarah Jessica Parker,8,8,0
Actor,Leslie Bibb,8,7,1
Actor,Aki Toyosaki,8,5,3
Actor,Seann William Scott,8,8,0
Actor,Philip Baker Hall,8,8,0
Actor,Manav Vij,8,8,0
Actor,Tomokazu Seki,8,1,7
Actor,Satish Kaushik,8,8,0
Actor,James Fox,8,7,1
Actor,T.I.,8,6,2
Actor,Natasha Lyonne,8,6,2
Actor,Farhan Akhtar,8,8,0
Actor,Maaya Uchida,8,0,8
Actor,Shia LaBeouf,8,8,0
Actor,Hugo Weaving,8,8,0
Actor,Purab Kohli,8,7,1
Actor,Ratna Pathak Shah,8,7,1
Actor,Tommy Lee Jones,8,8,0
Actor,Kumud Mishra,8,8,0
Actor,Dylan McDermott,8,6,2
Actor,Kristen Schaal,8,5,3
Actor,Josh Lucas,8,7,1
Actor,Mark Strong,8,7,1
Actor,Vincent D'Onofrio,8,7,1
Actor,Kevin Spacey,8,7,1
Actor,Octavia Spencer,8,7,1
Actor,Martin Sheen,8,6,2
Actor,Tannishtha Chatterjee,8,8,0
Actor,Thomas Mann,8,8,0
Actor,Kellan Lutz,8,8,0
Actor,Jeffrey Wright,8,7,1
Actor,Deon Cole,8,5,3
Actor,Himani Shivpuri,8,8,0
Actor,Gael García Bernal,8,8,0
Actor,Alison Pill,8,7,1
Actor,Carrie-Anne Moss,8,6,2
Actor,Oliver Platt,8,7,1
Actor,Christopher Mintz-Plasse,8,6,2
Actor,Vinnie Jones,8,7,1
Actor,Vinay Pathak,8,7,1
Actor,Lisa Kudrow,8,4,4
Actor,Urmila Matondkar,8,8,0
Actor,Enyinna Nwigwe,8,7,1
Actor,Arjun Mathur,8,8,0
Actor,Ben Affleck,8,8,0
Actor,Olivia Colman,8,4,4
Actor,Atsuko Tanaka,8,0,8
